name,seats
Carlow–Kilkenny,5
Cavan–Monaghan,5
Clare,4
Cork East,4
Cork North-Central,4
Cork North-West,3
Cork South-Central,4
Cork South-West,3
Donegal,5
Dublin Bay North,5
Dublin Bay South,4
Dublin Central,4
Dublin Fingal,5
Dublin Mid-West,4
Dublin North-West,3
Dublin Rathdown,3
Dublin South-Central,4
Dublin South-West,5
Dublin West,4
Dún Laoghaire,4
Galway East,3
Galway West,5
Kerry,5
Kildare North,4
Kildare South,4
Laois–Offaly,5
Limerick City,4
Limerick County,3
Longford–Westmeath,4
Louth,5
Mayo,4
Meath East,3
Meath West,3
Roscommon–Galway,3
Sligo–Leitrim,4
Tipperary,5
Waterford,4
Wexford,5
Wicklow,5
