bxname,psname
Ballygall A,Canices Boys NS
Ballygall A,Canices Boys NS
Ballygall A,Canices Boys NS
Ballygall B,Canices Boys NS
Ballygall B,Canices Boys NS
Finglas Nth,Canices Boys NS
Charlestwn,Canices Boys NS
Lanesbro,Canices Boys NS
Lanesbro,Canices Boys NS
Ballygall C,Sacrd Hrt Boys NS
Ballygall C,Sacrd Hrt Boys NS
Ballygall C,Sacrd Hrt Boys NS
Ballygall C/D,Sacrd Hrt Boys NS
Ballygall D,Sacrd Hrt Boys NS
Ballygall D,Sacrd Hrt Boys NS
Ballymun A,Holy Spirit NS
Ballymun A,Holy Spirit NS
Ballymun A,Holy Spirit NS
Ballymun A/B,Holy Spirit NS
Ballymun B,Holy Spirit NS
Ballymun B,Holy Spirit NS
Ballymun B/D,Holy Spirit NS
Ballymun D,Holy Spirit NS
Ballymun D,Holy Spirit NS
Ballymun C1,Virgin Mary NS
Ballymun C1,Virgin Mary NS
Ballymun C1,Virgin Mary NS
Ballymun C1,Virgin Mary NS
Ballymun E,New Trinity
Ballymun E,New Trinity
Ballymun C2,New Trinity
Finglas Nth B,St Josephs NS
Finglas Nth B,St Josephs NS
Finglas Nth B,St Josephs NS
Finglas Nth A,St Josephs NS
Finglas Nth A,St Josephs NS
Finglas Nth A,St Josephs NS
Finglas Nth C,St Canices Girls NS
Finglas Nth C,St Canices Girls NS
Finglas Nth C,St Canices Girls NS
Ballymun F/Fing Nth C/Bmun F,St Canices Girls NS
Ballymun F,St Canices Girls NS
Ballymun F,St Canices Girls NS
Finglas Sth A,St Fergals Boys NS
Finglas Sth A,St Fergals Boys NS
Finglas Sth A,St Fergals Boys NS
Cappagh/Ballycoolen,St Fergals Boys NS
Finglas Sth B,St Oliver Plunk NS
Finglas Sth B,St Oliver Plunk NS
Finglas Sth B,St Oliver Plunk NS
Finglas Sth C,St Finians NS
Finglas Sth C,St Finians NS
Finglas Sth C,St Finians NS
Finglas Sth D,St Finians NS
Finglas Sth D,St Finians NS
Whitehall A1,Corpus Christi NS
Whitehall A1/D1,Corpus Christi NS
Whitehall D1,Corpus Christi NS
Whitehall A2,St Aidans CBS
Whitehall A2,St Aidans CBS
Whitehall B1,St Aidans CBS
Whitehall B2,Larkhill Boys
Whitehall B2,Larkhill Boys
Whitehall B2,Larkhill Boys
Whitehall B2/C,Larkhill Boys
Whitehll C pt,Larkhill Boys
Airport 3,Santry Parish Ctr
Turnapin,Santry Parish Ctr
NorthWood/Santry,Santry Parish Ctr
Whitehall C pt,Santry Parish Ctr
Beaumont A,Our Lady of Mercy
Beaumont A,Our Lady of Mercy
Beaumont A/WH D2,Our Lady of Mercy
Whitehall D2,Our Lady of Mercy
Postal,Postal
